2108.00,ctx-rh-G_frontal_inf-Triangular_part
2109.00,ctx-rh-G_frontal_middle
2110.00,ctx-rh-G_frontal_superior
2111.00,ctx-rh-G_frontomarginal
2112.00,ctx-rh-G_insular_long
2113.00,ctx-rh-G_insular_short
2114.00,ctx-rh-G_and_S_occipital_inferior
2115.00,ctx-rh-G_occipital_middle
2116.00,ctx-rh-G_occipital_superior
2117.00,ctx-rh-G_occipit-temp_lat-Or_fusiform
2118.00,ctx-rh-G_occipit-temp_med-Lingual_part
2119.00,ctx-rh-G_occipit-temp_med-Parahippocampal_part
2120.00,ctx-rh-G_orbital
2121.00,ctx-rh-G_paracentral
2122.00,ctx-rh-G_parietal_inferior-Angular_part
2123.00,ctx-rh-G_parietal_inferior-Supramarginal_part
2124.00,ctx-rh-G_parietal_superior
2125.00,ctx-rh-G_postcentral
2126.00,ctx-rh-G_precentral
2127.00,ctx-rh-G_precuneus
2128.00,ctx-rh-G_rectus
2129.00,ctx-rh-G_subcallosal
2130.00,ctx-rh-G_subcentral
2131.00,ctx-rh-G_temporal_inferior
2132.00,ctx-rh-G_temporal_middle
2133.00,ctx-rh-G_temp_sup-G_temp_transv_and_interm_S
2134.00,ctx-rh-G_temp_sup-Lateral_aspect
2135.00,ctx-rh-G_temp_sup-Planum_polare
2136.00,ctx-rh-G_temp_sup-Planum_tempolare
2137.00,ctx-rh-G_and_S_transverse_frontopolar
2138.00,ctx-rh-Lat_Fissure-ant_sgt-ramus_horizontal
2139.00,ctx-rh-Lat_Fissure-ant_sgt-ramus_vertical
2140.00,ctx-rh-Lat_Fissure-post_sgt
2141.00,ctx-rh-Medial_wall
2142.00,ctx-rh-Pole_occipital
2143.00,ctx-rh-Pole_temporal
2144.00,ctx-rh-S_calcarine
2145.00,ctx-rh-S_central
2146.00,ctx-rh-S_central_insula
2147.00,ctx-rh-S_cingulate-Main_part_and_Intracingulate
2148.00,ctx-rh-S_cingulate-Marginalis_part
2149.00,ctx-rh-S_circular_insula_anterior
2150.00,ctx-rh-S_circular_insula_inferior
2151.00,ctx-rh-S_circular_insula_superior
2152.00,ctx-rh-S_collateral_transverse_ant
2153.00,ctx-rh-S_collateral_transverse_post
2154.00,ctx-rh-S_frontal_inferior
2155.00,ctx-rh-S_frontal_middle
2156.00,ctx-rh-S_frontal_superior
2157.00,ctx-rh-S_frontomarginal
2158.00,ctx-rh-S_intermedius_primus-Jensen
2159.00,ctx-rh-S_intraparietal-and_Parietal_transverse
2160.00,ctx-rh-S_occipital_anterior
2161.00,ctx-rh-S_occipital_middle_and_Lunatus
2162.00,ctx-rh-S_occipital_superior_and_transversalis
2163.00,ctx-rh-S_occipito-temporal_lateral
2164.00,ctx-rh-S_occipito-temporal_medial_and_S_Lingual
2165.00,ctx-rh-S_orbital-H_shapped
2166.00,ctx-rh-S_orbital_lateral
2167.00,ctx-rh-S_orbital_medial-Or_olfactory
2168.00,ctx-rh-S_paracentral
2169.00,ctx-rh-S_parieto_occipital
2170.00,ctx-rh-S_pericallosal
2171.00,ctx-rh-S_postcentral
2172.00,ctx-rh-S_precentral-Inferior-part
2173.00,ctx-rh-S_precentral-Superior-part
2174.00,ctx-rh-S_subcentral_ant
2175.00,ctx-rh-S_subcentral_post
2176.00,ctx-rh-S_suborbital
2177.00,ctx-rh-S_subparietal
2178.00,ctx-rh-S_supracingulate
2179.00,ctx-rh-S_temporal_inferior
2180.00,ctx-rh-S_temporal_superior
2181.00,ctx-rh-S_temporal_transverse
2200.00,ctx-rh-G_cingulate-caudal_ACC
2201.00,ctx-rh-G_cingulate-rostral_ACC
2202.00,ctx-rh-G_cingulate-posterior
2205.00,ctx-rh-S_cingulate-caudal_ACC
2206.00,ctx-rh-S_cingulate-rostral_ACC
2207.00,ctx-rh-S_cingulate-posterior
2210.00,ctx-rh-S_pericallosal-caudal
2211.00,ctx-rh-S_pericallosal-rostral
2212.00,ctx-rh-S_pericallosal-posterior
3100.00,wm-lh-Unknown
3101.00,wm-lh-Corpus_callosum
3102.00,wm-lh-G_and_S_Insula_ONLY_AVERAGE
3103.00,wm-lh-G_cingulate-Isthmus
3104.00,wm-lh-G_cingulate-Main_part
3105.00,wm-lh-G_cuneus
3106.00,wm-lh-G_frontal_inf-Opercular_part
3107.00,wm-lh-G_frontal_inf-Orbital_part
3108.00,wm-lh-G_frontal_inf-Triangular_part
3109.00,wm-lh-G_frontal_middle
3110.00,wm-lh-G_frontal_superior
3111.00,wm-lh-G_frontomarginal
3112.00,wm-lh-G_insular_long
3113.00,wm-lh-G_insular_short
