D1,D2,DAT,NET,5HT1A,5HT1B,5HT2A,5HT4,5HT6,5HTT,a4b2,M1,vAChT,NMDA,mGluR5,GABAA/BZ,H3,CB1,MOR
0.130575275,0.07645093,0.301027165,-1.265032009,2.114491586,-0.677917859,0.309563885,0.802956338,-0.974057959,1.518127928,-1.358084813,0.123020906,-0.078248381,0.033696184,0.094261423,-0.402233436,-0.155137306,-0.105163717,0.475043721
0.613447944,0.409997977,0.197226423,0.063656715,1.276737791,0.083491999,0.848906576,0.543563603,0.536009366,0.261990387,-0.182408301,0.655155141,-0.174217727,0.601927833,0.614125585,0.471968081,-0.044594426,0.540916931,0.283936625
0.207377618,0.131801456,-0.242698659,0.335257523,0.495057521,0.562369797,0.97299728,0.686020823,0.754697946,-0.004089877,0.217100143,0.9115882,-0.184579272,0.252104098,0.875443711,0.516839687,0.09115235,0.537790209,0.303236194
0.441477145,0.617900387,0.051157843,0.342107656,1.265241958,0.248052672,1.051845189,0.790046756,0.836555541,0.082153059,-0.108146649,0.885128395,-0.153538502,0.517335754,0.756865373,0.444472198,-0.093013936,0.701920865,0.621782681
0.59569659,-0.444182045,0.170212196,-0.407339993,0.256461339,-0.094368582,0.643640012,0.387215028,-0.278854826,0.234574766,-0.52022725,-0.025979918,-0.075217309,0.482056874,0.505632197,0.242462967,-0.343224297,-0.65725326,-0.196388221
-0.182299244,-0.056211828,-0.205623943,0.289767174,0.122561403,0.447989264,0.992080012,0.483930237,0.56121299,0.156189571,-0.153637968,0.837978758,-0.257289699,0.212838306,0.506295695,0.770273478,-0.188716246,-0.110179125,-0.80329087
0.614287552,0.121604232,0.367049658,-0.074111716,0.591853872,0.461165371,1.147037075,0.664962676,0.06334982,0.55707528,-0.128511486,0.508854649,0.154186534,0.859563409,0.587250091,0.560956556,0.675427653,0.53776608,1.002963974
0.421705084,-0.278612847,0.057991694,-0.046712156,0.170139964,0.841928426,0.88753205,0.273178511,0.089826126,0.364666036,-0.508038075,0.54708849,-0.231233145,0.686259851,0.361714989,0.915338452,-0.179712541,-0.564961928,-0.992545363
1.16021043,0.206838273,0.392385817,0.103497478,1.157731371,0.658506547,0.927932381,0.639756669,0.371468379,0.255031782,-0.082494578,0.817083667,0.183997015,0.78823832,1.009097073,0.211415222,1.055817804,1.194402658,1.248877305
0.552387729,0.598289736,0.065852476,0.540324107,1.113251475,0.433898129,1.25292542,0.927506247,1.009929198,0.17222943,0.056893757,1.015366378,-0.108031168,0.680090085,1.054559028,0.417448272,0.067136709,0.838707579,0.628483531
0.344130137,-0.042620956,0.342495612,-0.437752057,1.469547223,-0.822435396,0.337814848,0.420367613,-0.595217374,0.607491884,-0.418332917,-0.228087668,-0.097974055,-0.052365111,0.107731134,-0.051493575,-0.070395812,-0.021719392,-0.299178268
0.173997673,-0.276339077,-0.065904525,1.450300763,0.205054529,0.287333424,0.358027699,0.131972406,0.114413676,0.313337844,0.020808058,0.284733046,0.187804003,0.665317884,0.303347072,0.265945812,0.517666447,0.090792456,0.150413345
0.556988412,-0.007429776,0.186347458,0.754008097,0.832188128,1.147996397,0.85157419,0.391291652,0.808245057,0.10266904,0.433505065,0.741980329,-0.040116724,0.547760813,1.039334373,0.514031304,0.72026744,0.680245195,0.717510735
0.172082971,-0.072655155,-0.315517321,0.422308177,0.183127954,0.454672134,1.340825,0.74239923,0.277157325,0.232590505,0.333187945,0.81007908,-0.199983814,0.589401152,0.61144831,0.580113562,0.452894854,0.772615694,0.526056313
